id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
29	acclimation	-0.6723	-0.3315	5	37	62	7	2018.5714	44.4286	1.487
30	accumulation	-0.6844	0.3249	2	61	212	36	2019.75	11.9444	0.8798
60	agriculture	1.0521	0.0779	1	53	192	42	2020.0238	13.9762	1.3816
126	anthocyanins	-0.9842	-0.0981	2	49	143	20	2019.65	13.2	0.7131
139	antioxidants	-0.8096	0.2553	2	66	315	52	2019.75	14.4423	1.1826
152	arabidopsis	-0.9173	0.0301	3	43	127	25	2018.2	10.56	0.9085
168	artificial intelligence	0.7892	-0.3672	1	20	23	8	2019.375	6.75	1.2892
170	artificial lighting	0.0354	-0.367	2	68	236	34	2019.8235	16.5588	1.2663
219	basil	-0.5057	0.1385	4	61	179	23	2020.0435	21.4348	1.8776
242	bioactive compounds	-0.7589	0.1419	2	45	84	12	2020.5	5.4167	1.3981
254	biomass	-0.3705	0.1481	2	43	91	14	2020.5	6.5714	0.7828
265	biosynthesis	-0.5266	0.6318	2	36	69	13	2020.3846	3.6154	0.8209
274	blue light	-0.7006	-0.1712	3	93	858	120	2019.5882	14.175	0.9434
324	calcium	0.482	0.0582	5	21	32	7	2016.1429	13	1.0045
342	capacity	-0.9323	0.3492	2	29	39	7	2019.5714	19.8571	1.1552
398	chlorophyll	-0.9593	-0.2714	2	42	88	15	2019.0667	6.8	0.6887
401	chlorophyll fluorescence	-0.6998	-0.0175	2	56	175	28	2019.2963	12.4643	0.8904
427	city	1.2636	0.2473	1	16	21	7	2020.2857	5.4286	0.7737
431	climate change	0.9501	0.102	1	41	78	14	2018.0714	23.1429	1.5253
449	co2	0.1817	-0.0325	5	40	78	14	2017.9286	17.1429	1.5546
471	combinations	-0.7002	-0.5215	5	33	63	8	2017.5	23.25	1.542
526	controlled environment agriculture	0.3416	0.0129	1	84	275	52	2020.0385	18.5962	1.1996
599	cultivars	-0.3408	0.2818	5	40	72	14	2017.8571	8	0.8336
600	cultivation	0.6289	0.5631	1	31	44	7	2020.7143	5.7143	2.1904
621	daily light integral	-0.0823	0.6074	4	35	62	9	2019.7778	16.8889	1.0469
668	design	0.988	-0.2119	1	25	43	12	2020.3333	18.5833	2.1641
736	dynamics	0.0861	0.2834	5	27	31	7	2020	8.4286	2.1721
758	efficiency	0.48	-0.4254	1	39	59	10	2019.7	11.4	1.1179
794	energy	0.9037	-0.1221	1	45	104	23	2019.4783	11.9565	0.8449
807	energy use efficiency	0.0634	0.1022	4	40	71	12	2019.3333	13.5	1.2085
825	environment	0.5647	-0.1148	1	47	81	14	2019.5714	9.1429	0.826
878	expression	-0.6428	0.5355	4	41	90	16	2018.5	22.9375	0.9469
895	far-red	-0.5354	-0.5388	3	43	98	17	2020.3529	17	1.4797
919	field	0.4964	0.3817	5	23	33	7	2017.7143	13.2857	1.8741
958	food security	1.0518	0.3072	1	29	57	16	2018.4	22.0625	1.2523
969	food-production	1.1257	0.013	1	49	132	26	2020.3462	12.5	1.5353
1014	future	1.3653	0.0082	1	17	33	9	2020.4444	15.5556	1.2275
1020	gas-exchange	-0.2442	-0.2011	5	46	83	14	2018.8571	22.2857	0.9954
1024	gene expression	-1.0398	0.2312	2	43	93	16	2020.6875	9.5	1.2724
1082	green light	-0.4059	-0.2012	3	78	359	45	2019.1818	25.5333	1.0629
1103	greenhouses	0.6436	-0.002	1	60	163	36	2018.9143	18.0556	1.3876
1232	hydroponics	0.7407	0.439	1	65	196	39	2020.3077	5.9231	0.6932
1261	impact	0.6393	0.3563	1	31	42	7	2020.1429	7.7143	1.1673
1269	in-vitro	-0.5717	0.7525	4	25	44	7	2018.1429	28.2857	1.0456
1288	indoor farming	0.2607	0.2721	5	64	149	25	2020.4583	8.08	1.2579
1321	innovation	1.2435	0.1172	1	20	35	7	2019.3333	7.8571	1.3614
1347	internet of things	1.0338	0.4648	1	19	31	13	2020.5385	6.3846	0.7967
1366	irradiance	-0.4324	0.3788	4	69	239	31	2019.5806	15.5161	1.0549
1398	lactuca sativa l.	-0.123	-0.0336	2	105	981	151	2019.5828	12.9073	1.0014
1404	land	0.9054	0.209	1	27	51	8	2019.375	21.125	1.8743
1434	leaf photosynthesis	-0.2367	-0.8008	3	35	61	8	2020.25	17.375	1.4302
