id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
30	accumulation	-0.6257	0.2585	3	57	206	37	2019.8108	11.4054	0.8349
66	agriculture	1.1007	0.2096	1	47	179	42	2020.0238	13.7619	1.3703
133	anthocyanins	-0.5243	-0.1549	2	47	139	20	2019.65	13.1	0.7289
146	antioxidants	-0.7847	0.2019	3	63	305	52	2019.75	14.3654	1.182
159	arabidopsis	-1.0461	-0.2431	3	36	114	24	2018.5833	10.2917	0.9359
175	artificial light	-0.976	0.3271	3	22	40	9	2019	9.6667	0.4478
176	artificial lighting	0.1406	-0.3254	1	61	189	25	2020.12	18.84	1.5496
226	basil	0.0198	0.3877	2	49	134	17	2020.2353	12.2941	1.3157
250	bioactive compounds	-0.4189	0.0802	3	42	79	12	2020.5	5.4167	1.4424
265	biomass	-0.3186	0.2806	3	41	85	14	2020.5	6.2857	0.7574
278	biosynthesis	-0.5041	0.6701	3	33	66	13	2020.3846	3.5385	0.8269
288	blue light	-0.8142	-0.2946	2	85	820	120	2019.5882	14.0583	0.9279
419	chlorophyll	-0.4643	-0.5527	2	39	83	15	2019.0667	6.8	0.7009
422	chlorophyll fluorescence	-0.2323	-0.4389	2	52	171	29	2019.3214	12.069	0.8709
459	climate-change	1.0166	-0.1951	1	28	38	8	2019	10.875	1.7127
496	combinations	-0.7312	-0.6947	2	29	58	8	2017.5	23.25	1.5602
551	controlled environment agriculture	0.3711	-0.0615	1	78	264	55	2020.3818	9.3455	1.3116
623	cultivars	-0.6832	0.0941	2	35	63	13	2018.5385	7.3846	0.8805
646	daily light integral	-0.3057	0.5484	2	33	58	9	2019.7778	16.5556	1.0128
694	design	1.0542	-0.0536	1	22	40	12	2020.3333	18.3333	2.1097
782	efficiency	0.5206	-0.3686	1	35	54	10	2019.7	11.3	1.1186
819	energy	0.8377	-0.2962	1	41	98	23	2019.4783	11.8696	0.8246
853	environment	0.4542	-0.2682	1	44	76	14	2019.5714	9.0714	0.8276
908	expression	-0.5739	0.5266	3	37	83	16	2018.5	22.6875	0.9413
925	far-red light	-0.6338	-0.4508	2	31	51	11	2020.8182	9.1818	1.4264
992	food security	1.01	0.3972	1	24	50	16	2018.4	22	1.2546
1003	food-production	1.0802	0.06	1	44	120	27	2020.2593	17.2963	1.6727
1049	future	1.361	-0.066	1	14	29	9	2020.4444	15.4444	1.2135
1056	gas-exchange	-0.2079	-0.6163	2	39	76	15	2018.9333	20.9333	0.9625
1061	gene-expression	-0.5872	-0.0107	3	39	74	13	2020.3846	11.4615	1.4018
1117	green light	-0.5751	-0.3051	2	72	343	45	2019.4545	15.0222	0.9823
1139	greenhouses	0.6977	-0.2065	1	53	152	37	2019.5	18.6216	1.4157
1269	hydroponic lettuce	-0.2588	0.689	3	40	96	13	2020.6923	7.9231	0.9106
1277	hydroponics	0.7173	0.4797	1	61	188	39	2020.3077	5.7949	0.6597
1307	impact	0.5406	0.4416	1	29	43	8	2020.25	6.5	1.015
1335	indoor farming	0.2737	0.3576	1	53	109	19	2020.7222	6.3158	1.2983
1386	intensity	-0.344	0.4214	2	50	148	20	2020.3684	6.35	0.7604
1397	internet of things	1.0407	0.5742	1	17	29	13	2020.5385	6.3846	0.811
1417	irradiance	-0.2718	0.139	3	65	231	31	2019.5806	15.2258	1.0114
1449	lactuca sativa l.	-0.0516	-0.1112	3	92	845	139	2019.518	13.1799	1.0103
1456	land	0.9869	0.2823	1	26	49	8	2019.375	21	1.8923
1486	leaf photosynthesis	-0.228	-0.7466	2	36	63	9	2020.2222	15.6667	1.2995
1497	leaves	-0.075	-0.5227	2	69	336	60	2019.4746	10.5667	0.9329
1541	life-cycle assessment	1.1456	-0.1471	1	23	41	11	2019.9091	14.1818	1.571
1554	light emitting diodes	-0.3765	-0.052	3	89	1016	165	2019.6848	12.4061	1.0032
1564	light intensity	-0.1202	0.5106	3	55	126	21	2019.5714	11	0.8227
1565	light interception	-0.0113	-0.7579	2	35	65	11	2020.2727	8.2727	1.1293
1571	light quality	-0.9346	0.0216	2	56	206	28	2019.1786	22.1071	0.9729
1577	light spectrum	-1.1655	-0.0574	3	29	56	9	2019.7778	13.6667	0.8178
1581	light use efficiency	0.2839	-0.5541	2	30	61	9	2019.375	7.7778	1.1847
1643	management	0.9025	0.0774	1	39	60	11	2020.5455	30.5455	2.3443
1689	metabolism	-0.9362	0.5394	3	38	69	11	2020.6364	4.8182	0.8129
1732	model	0.918	-0.4783	1	30	65	13	2019.6923	21.3077	1.7479
1755	morphology	-0.6576	0.384	2	46	120	17	2020.1176	8.7647	0.8368
1832	nitrate	0.0104	0.6699	3	39	74	12	2018	23.3333	1.3566
1840	nitrogen	0.0785	0.1903	3	37	54	10	2019.5	5.9	0.5284
1883	nutrient solution	0.4627	0.5708	1	40	69	11	2019.6364	9.6364	1.0437
1892	nutritional quality	-0.3577	0.7905	3	36	67	10	2020.3	14.2	1.1986
1920	optimization	0.6523	0.0968	1	27	37	10	2018.9	12.8	1.3373
1977	performance	0.8611	-0.1544	1	50	98	23	2019.8696	10.087	1.3527
2006	phenolic-compounds	-0.8619	0.4339	3	44	118	16	2020.5625	8.625	1.2265
2038	photomorphogenesis	-1.0263	-0.5392	2	39	154	20	2019.2	28.85	1.2678
2046	photoperiod	-0.1662	0.3581	3	61	166	26	2020	10.1923	0.8071
2054	photosynthesis	-0.3795	-0.3775	2	86	892	134	2019.5263	12.7463	0.936
2105	phytochemicals	-1.145	0.181	3	34	69	12	2019	35.9167	1.5027
2106	phytochrome	-0.446	-0.8449	2	35	78	10	2019.2	10.3	0.7985
2141	plant factory	0.1264	-0.0183	1	93	598	131	2019.0462	15.4122	1.0021
2148	plant growth	-0.0708	0.0704	3	96	952	169	2019.6826	8.6036	0.8023
2180	plants	-0.125	0.2033	3	82	377	61	2019.5738	15.4426	0.9657
2259	productivity	0.5546	0.0359	1	49	109	21	2020.1429	6.8571	0.8279
2269	propagation	-0.65	0.7666	2	20	26	8	2019.875	2.625	0.1998
2309	quality	-0.1698	-0.0897	2	87	715	108	2019.7383	11.4074	0.8389
2318	quantum yield	-0.514	-0.6921	2	40	101	13	2020	7.7692	0.9339
2326	radiation	0.0011	-0.2834	2	66	165	23	2019.7727	11.5652	0.922
2365	red light	-0.6981	-0.1926	2	84	760	108	2019.6449	13.3889	0.8763
2420	responses	-0.386	-0.2072	2	77	359	58	2019.5	10.8103	1.043
2522	secondary metabolites	-0.2729	-0.262	3	43	97	17	2020.1176	12.8824	1.6396
2536	seedlings	-0.7543	-0.0373	2	45	105	15	2019.9333	10.2	0.8659
2565	shade	0.5328	-0.107	1	38	57	10	2019.6667	8.8	0.7604
2566	shade avoidance	-0.6071	-0.856	2	33	68	9	2020.7778	7.8889	1.0459
2591	simulation	1.1402	-0.3291	1	17	32	9	2019.8889	17	1.2872
2701	spinach	-0.9037	-0.1336	3	33	66	10	2017.3	31.4	0.9404
2736	stomatal conductance	0.2143	-0.7743	2	35	60	9	2019.6667	10.4444	1.0602
2742	strawberry	0.1615	0.8592	3	24	37	8	2019.375	7	0.945
2746	stress	-0.4883	0.383	3	48	153	28	2019.7143	6.3571	0.722
2773	supplemental blue	-0.822	-0.5366	2	39	107	14	2019.7857	16.4286	1.0937
2785	sustainability	1.2005	0.0967	1	36	115	26	2020.4	10.4615	1.3635
2810	systems	0.7803	-0.0428	1	66	245	64	2019.375	13.5	1.0593
2829	temperature	0.3251	0.0884	1	77	260	43	2019.7674	7.907	0.8231
2879	tomato	0.2331	-0.1401	1	55	122	22	2019.3182	18.0455	1.2902
2922	transpiration	0.6387	-0.5681	1	34	73	18	2019.3889	6.5	0.7287
2962	urban agriculture	1.1764	-0.0217	1	51	193	48	2019.4681	22.2708	1.5188
2987	use efficiency	0.414	0.1721	1	48	96	14	2020	10.5714	1.0726
3021	vegetables	-0.4835	0.2196	3	46	87	19	2020	13.7368	0.9111
3033	ventilation	1.0229	-0.5154	1	20	38	8	2019.125	13	1.0491
3045	vertical farming	0.5522	0.2149	1	93	591	133	2020.2061	13.4286	1.2533
3076	water	0.7241	0.2423	1	62	220	45	2020.2889	8.3778	1.1941
3106	white	-0.7444	0.6071	3	29	62	8	2020.375	6.875	0.8046
3137	yield	0.1743	0.5431	3	64	269	47	2019.9556	10	0.9194
