Web of Science Categories	Record Count	% of 610
Plant Sciences	143	23.443
Horticulture	139	22.787
Agronomy	66	10.820
Environmental Sciences	62	10.164
Agriculture Multidisciplinary	49	8.033
Food Science Technology	45	7.377
Green Sustainable Science Technology	41	6.721
Environmental Studies	30	4.918
Agricultural Engineering	28	4.590
Energy Fuels	21	3.443
Engineering Electrical Electronic	21	3.443
Chemistry Multidisciplinary	19	3.115
Physics Applied	19	3.115
Engineering Environmental	17	2.787
Computer Science Interdisciplinary Applications	16	2.623
Multidisciplinary Sciences	16	2.623
Materials Science Multidisciplinary	15	2.459
Chemistry Applied	13	2.131
Engineering Multidisciplinary	11	1.803
Biotechnology Applied Microbiology	10	1.639
Biochemistry Molecular Biology	9	1.475
Computer Science Information Systems	9	1.475
Instruments Instrumentation	9	1.475
Chemistry Analytical	7	1.148
Construction Building Technology	7	1.148
Management	7	1.148
Meteorology Atmospheric Sciences	7	1.148
Biology	6	0.984
Optics	6	0.984
Thermodynamics	6	0.984
Engineering Civil	5	0.820
Mechanics	5	0.820
Nutrition Dietetics	5	0.820
Telecommunications	5	0.820
Engineering Chemical	4	0.656
Forestry	4	0.656
Urban Studies	4	0.656
Agricultural Economics Policy	3	0.492
Computer Science Artificial Intelligence	3	0.492
Engineering Industrial	3	0.492
Engineering Mechanical	3	0.492
Materials Science Textiles	3	0.492
Metallurgy Metallurgical Engineering	3	0.492
Automation Control Systems	2	0.328
Chemistry Medicinal	2	0.328
Computer Science Software Engineering	2	0.328
Development Studies	2	0.328
Engineering Aerospace	2	0.328
Engineering Manufacturing	2	0.328
History Philosophy Of Science	2	0.328
Operations Research Management Science	2	0.328
Regional Urban Planning	2	0.328
Acoustics	1	0.164
Anthropology	1	0.164
Architecture	1	0.164
Chemistry Physical	1	0.164
Communication	1	0.164
Computer Science Theory Methods	1	0.164
Economics	1	0.164
Engineering Biomedical	1	0.164
Genetics Heredity	1	0.164
Geosciences Multidisciplinary	1	0.164
Imaging Science Photographic Technology	1	0.164
Materials Science Paper Wood	1	0.164
Mathematics Interdisciplinary Applications	1	0.164
Medicine Research Experimental	1	0.164
Nanoscience Nanotechnology	1	0.164
Pharmacology Pharmacy	1	0.164
Physics Condensed Matter	1	0.164
Physics Fluids Plasmas	1	0.164
Psychology Clinical	1	0.164
Psychology Multidisciplinary	1	0.164
Public Environmental Occupational Health	1	0.164
Rehabilitation	1	0.164
Remote Sensing	1	0.164
Social Sciences Interdisciplinary	1	0.164
Social Work	1	0.164
Sociology	1	0.164
Water Resources	1	0.164
Zoology	1	0.164
